paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
INT_K,INT_S_C,STRING_S_C,STRING_S_C,STRING_S_C,STRING_S_C,STRING_S_C,INT_S_C
id,question_bank_id,question_stem,answer_a,answer_b,answer_c,answer_d,right_answer
唯一id,题库id,题干,选项a,选项b,选项c,选项d,正确选项
1001,1,世界上面积最大的大洲是哪个？,非洲,亚洲,北美洲,欧洲,2
1002,1,哪个国家以风车、郁金香和木鞋闻名？,比利时,丹麦,荷兰,瑞士,3
1003,1,地球自转一周大约需要多长时间？,12小时,24小时,30天,365天,2
1004,1,日本的首都是哪里？,大阪,京都,东京,名古屋,3
1005,1,世界上最高的山峰是哪座？,乔戈里峰,珠穆朗玛峰,干城章嘉峰,洛子峰,2
1006,1,中国最长的河流是？,黄河,长江,珠江,黑龙江,2
1007,1,“袋鼠之国”指的是哪个国家？,新西兰,南非,巴西,澳大利亚,4
1008,1,以下哪个城市是法国的首都？,罗马,柏林,巴黎,马德里,3
1009,1,撒哈拉沙漠位于哪个大洲？,亚洲,非洲,澳洲,南美洲,2
1010,1,世界上最大的热带雨林是？,刚果雨林,亚马孙雨林,东南亚雨林,新几内亚雨林,2
1011,1,中国古代的“四大发明”不包括以下哪个？,造纸术,火药,指南针,地动仪,4
1012,1,第一次世界大战开始于哪一年？,1905,1914,1923,1939,2
1013,1,埃及金字塔主要是用来做什么的？,宫殿,陵墓,祭坛,天文台,2
1014,1,美国的第一任总统是谁？,托马斯·杰斐逊,亚伯拉罕·林肯,乔治·华盛顿,约翰·亚当斯,3
1015,1,文艺复兴运动起源于哪个欧洲国家？,法国,西班牙,德国,意大利,4
1016,1,中国的明朝之前的朝代是？,唐朝,宋朝,元朝,清朝,3
1017,1,古罗马斗兽场位于今天的哪个城市？,雅典,罗马,巴黎,开罗,2
1018,1,提出“日心说”的欧洲天文学家是？,伽利略,开普勒,哥白尼,布鲁诺,3
1019,1,中国的辛亥革命发生在哪一年？,1901,1911,1921,1931,2
1020,1,世界上第一个成功分离出镭的女性科学家是谁？,伊雷娜·约里奥-居里,吴健雄,罗莎琳·富兰克林,玛丽·居里,4
1021,1,水的化学式是什么？,CO2,O2,H2O,NaCl,3
1022,1,人类身体中含量最多的元素是？,碳,氢,氧,氮,3
1023,1,声音在下列哪种介质中传播速度最慢？,钢铁,水,空气,真空,3
1024,1,植物进行光合作用主要需要哪种气体？,氧气,氮气,二氧化碳,氢气,3
1025,1,地球唯一的天然卫星是什么？,火星,金星,月球,太阳,3
